ros_time,state,x,y,z
1774029074.484,IDLE,0.003,0.021,-0.002
1774029074.984,IDLE,0.002,0.021,-0.001
1774029075.484,IDLE,0.002,0.025,0.000
1774029075.984,IDLE,-0.004,0.022,0.001
1774029076.484,IDLE,-0.009,0.019,0.002
1774029076.984,IDLE,-0.011,0.018,0.003
1774029077.484,IDLE,-0.011,0.016,0.006
1774029077.984,IDLE,-0.004,0.016,0.011
1774029078.484,IDLE,-0.006,0.013,0.013
1774029078.984,IDLE,-0.006,0.009,0.016
1774029079.484,IDLE,-0.008,0.006,0.018
1774029079.984,IDLE,-0.015,0.002,0.018
1774029080.484,IDLE,-0.012,-0.003,0.015
1774029080.984,IDLE,-0.010,-0.008,0.017
1774029081.484,IDLE,-0.013,-0.019,0.019
1774029081.984,IDLE,-0.011,-0.026,0.019
1774029082.484,IDLE,-0.006,-0.035,0.018
1774029082.984,IDLE,0.000,-0.044,0.020
1774029083.484,IDLE,-0.003,-0.052,0.022
1774029083.984,IDLE,-0.006,-0.052,0.028
1774029084.484,IDLE,-0.004,-0.055,0.037
1774029084.984,IDLE,-0.004,-0.056,0.045
1774029085.484,IDLE,-0.003,-0.062,0.050
1774029085.984,IDLE,-0.004,-0.059,0.052
1774029086.484,IDLE,-0.004,-0.061,0.053
1774029086.984,IDLE,-0.004,-0.070,0.052
1774029087.484,IDLE,-0.004,-0.079,0.048
1774029087.984,IDLE,-0.005,-0.077,0.046
1774029088.484,IDLE,-0.003,-0.083,0.045
1774029088.984,IDLE,-0.003,-0.084,0.043
1774029089.484,IDLE,-0.001,-0.081,0.042
1774029089.984,IDLE,0.000,-0.074,0.040
1774029090.484,IDLE,0.000,-0.067,0.039
1774029090.984,IDLE,0.005,-0.067,0.035
1774029091.484,IDLE,0.005,-0.066,0.035
1774029091.984,IDLE,0.001,-0.057,0.032
1774029092.484,IDLE,-0.007,-0.054,0.033
1774029092.984,IDLE,-0.012,-0.050,0.038
1774029093.484,IDLE,-0.015,-0.039,0.036
1774029093.984,IDLE,-0.014,-0.030,0.040
1774029094.484,IDLE,-0.010,-0.013,0.042
1774029094.984,IDLE,-0.015,-0.003,0.046
1774029095.484,IDLE,-0.017,-0.001,0.047
1774029095.984,IDLE,-0.016,0.001,0.044
1774029096.484,IDLE,-0.014,0.006,0.044
1774029096.984,IDLE,-0.014,0.013,0.044
1774029097.484,IDLE,-0.013,0.017,0.042
1774029097.984,IDLE,-0.010,0.015,0.041
1774029098.484,IDLE,-0.007,0.014,0.039
1774029098.984,IDLE,-0.005,0.022,0.033
1774029099.484,IDLE,-0.005,0.027,0.032
1774029099.984,IDLE,-0.003,0.025,0.032
1774029100.484,IDLE,0.001,0.024,0.033
1774029100.984,IDLE,0.008,0.026,0.028
1774029101.484,IDLE,0.012,0.027,0.030
1774029101.984,IDLE,0.013,0.026,0.032
1774029102.484,IDLE,0.017,0.025,0.032
1774029102.984,IDLE,0.022,0.024,0.029
1774029103.484,IDLE,0.027,0.014,0.026
1774029103.984,IDLE,0.024,0.008,0.023
1774029104.484,IDLE,0.026,0.004,0.020
1774029104.984,IDLE,0.032,0.001,0.013
1774029105.485,IDLE,0.034,-0.003,0.004
1774029105.984,IDLE,0.026,0.001,-0.002
1774029106.484,IDLE,0.024,0.003,-0.006
1774029106.984,IDLE,0.019,0.008,-0.008
1774029107.484,IDLE,0.014,0.012,-0.011
1774029107.984,IDLE,0.010,0.012,-0.016
1774029108.484,IDLE,0.006,0.012,-0.020
1774029108.984,IDLE,0.007,0.020,-0.021
1774029109.484,IDLE,0.012,0.033,-0.023
1774029109.984,IDLE,0.014,0.030,-0.020
1774029110.484,IDLE,0.014,0.030,-0.017
1774029110.984,IDLE,0.012,0.036,-0.012
1774029111.484,IDLE,0.013,0.039,-0.004
1774029111.984,IDLE,0.009,0.036,-0.002
1774029112.484,IDLE,0.009,0.031,-0.001
1774029112.984,IDLE,0.010,0.029,0.004
1774029113.484,IDLE,0.009,0.031,0.009
1774029113.984,IDLE,0.009,0.029,0.012
1774029114.484,IDLE,0.009,0.031,0.010
1774029114.984,IDLE,0.008,0.036,0.012
1774029115.484,IDLE,0.009,0.037,0.012
1774029115.984,IDLE,0.004,0.027,0.010
1774029116.484,IDLE,-0.004,0.029,0.008
1774029116.984,IDLE,-0.008,0.031,0.004
1774029117.484,IDLE,-0.020,0.028,0.003
1774029117.984,IDLE,-0.022,0.020,0.000
1774029118.484,IDLE,-0.021,0.019,-0.001
1774029118.984,IDLE,-0.021,0.019,-0.001
1774029119.485,IDLE,-0.021,0.019,-0.001
1774029119.984,IDLE,-0.021,0.019,-0.002
1774029120.484,IDLE,-0.021,0.019,-0.002
1774029120.984,IDLE,-0.021,0.019,-0.002
1774029121.484,IDLE,-0.021,0.019,-0.002
1774029121.984,IDLE,-0.021,0.019,-0.002
1774029122.484,IDLE,-0.021,0.019,-0.002
1774029122.984,IDLE,-0.021,0.019,-0.002
1774029123.485,IDLE,-0.021,0.019,-0.002
1774029123.984,IDLE,-0.021,0.019,-0.002
1774029124.484,IDLE,-0.021,0.019,-0.002
1774029124.984,IDLE,-0.021,0.019,-0.002
1774029125.484,IDLE,-0.021,0.019,-0.002
1774029125.984,IDLE,-0.021,0.019,-0.002
1774029126.484,IDLE,-0.021,0.019,-0.002
1774029126.984,IDLE,-0.021,0.019,-0.002
1774029127.484,IDLE,-0.021,0.019,-0.002
1774029127.984,IDLE,-0.022,0.020,-0.002
1774029128.484,IDLE,-0.022,0.020,-0.002
1774029128.984,IDLE,-0.022,0.020,-0.002
1774029129.484,IDLE,-0.022,0.020,-0.002
1774029129.984,IDLE,-0.022,0.020,-0.002
1774029130.484,IDLE,-0.022,0.020,-0.002
1774029130.984,IDLE,-0.022,0.020,-0.002
1774029131.485,IDLE,-0.022,0.020,-0.002
1774029131.984,IDLE,-0.022,0.020,-0.002
1774029132.484,IDLE,-0.022,0.020,-0.002
1774029132.984,IDLE,-0.022,0.020,-0.002
1774029133.484,IDLE,-0.022,0.020,-0.002
1774029133.984,IDLE,-0.022,0.020,-0.002
1774029134.484,IDLE,-0.022,0.020,-0.002
1774029134.984,IDLE,-0.022,0.020,-0.002
1774029135.484,IDLE,-0.022,0.020,-0.002
1774029135.984,IDLE,-0.022,0.020,-0.002
1774029136.484,IDLE,-0.022,0.020,-0.002
1774029136.984,IDLE,-0.022,0.020,-0.002
1774029137.484,IDLE,-0.022,0.020,-0.002
1774029137.984,IDLE,-0.022,0.020,-0.002
1774029138.484,IDLE,-0.022,0.020,-0.002
1774029138.984,IDLE,-0.022,0.020,-0.002
1774029139.484,IDLE,-0.022,0.020,-0.002
1774029139.984,IDLE,-0.022,0.020,-0.002
1774029140.484,IDLE,0.000,-0.000,0.000
1774029140.984,IDLE,0.003,-0.003,-0.000
1774029141.484,IDLE,0.002,-0.003,0.001
1774029141.984,IDLE,-0.000,0.002,0.015
1774029142.485,IDLE,0.001,0.005,0.030
1774029142.985,IDLE,0.004,0.004,0.031
1774029143.484,IDLE,0.002,-0.001,0.019
1774029143.984,IDLE,0.005,-0.006,0.009
1774029144.484,IDLE,0.006,-0.005,0.003
1774029144.984,IDLE,-0.003,-0.006,-0.001
1774029145.485,IDLE,-0.004,-0.006,0.003
1774029145.984,IDLE,-0.004,-0.005,0.009
1774029146.484,IDLE,-0.012,-0.006,0.012
1774029146.984,IDLE,-0.012,-0.012,0.011
1774029147.484,IDLE,-0.006,-0.015,0.013
1774029147.984,IDLE,-0.010,-0.008,0.016
1774029148.484,IDLE,-0.013,0.003,0.015
1774029148.984,IDLE,-0.007,0.016,0.019
1774029149.484,IDLE,-0.005,0.024,0.021
1774029149.984,IDLE,-0.006,0.029,0.018
1774029150.484,IDLE,-0.004,0.017,0.022
1774029150.984,IDLE,-0.002,0.022,0.016
1774029151.484,IDLE,-0.002,0.022,0.013
1774029151.984,IDLE,0.002,0.020,0.013
1774029152.484,IDLE,0.003,0.023,0.020
1774029152.984,IDLE,0.004,0.015,0.017
1774029153.484,IDLE,0.003,0.011,0.015
1774029153.984,IDLE,0.000,0.007,0.010
1774029154.484,IDLE,-0.002,0.005,0.008
1774029154.984,IDLE,-0.003,0.003,0.002
1774029155.484,IDLE,-0.005,0.008,-0.003
1774029155.984,IDLE,-0.009,0.008,-0.006
1774029156.485,IDLE,-0.011,0.013,-0.005
1774029156.984,IDLE,-0.010,0.013,-0.002
1774029157.484,IDLE,-0.011,0.011,0.001
1774029157.984,IDLE,-0.013,0.010,0.003
1774029158.484,IDLE,-0.013,0.009,0.006
1774029158.984,IDLE,-0.013,0.008,0.003
1774029159.484,IDLE,-0.004,0.007,0.002
1774029159.984,IDLE,0.008,0.012,0.004
1774029160.484,IDLE,0.013,0.019,0.004
1774029160.984,IDLE,0.010,0.016,0.000
1774029161.484,IDLE,0.005,0.015,0.004
1774029161.984,IDLE,0.001,0.017,0.001
1774029162.484,IDLE,0.002,0.019,0.002
1774029162.984,IDLE,0.010,0.017,0.007
1774029163.484,IDLE,0.012,0.023,0.012
1774029163.984,IDLE,0.013,0.027,0.013
1774029164.484,IDLE,0.016,0.031,0.011
1774029164.984,IDLE,0.016,0.028,0.011
1774029165.484,IDLE,0.011,0.025,0.017
1774029165.984,IDLE,0.012,0.025,0.022
1774029166.484,IDLE,0.014,0.020,0.019
1774029166.984,IDLE,0.013,0.014,0.014
1774029167.484,IDLE,0.017,0.015,0.011
1774029167.984,IDLE,0.023,0.017,0.006
1774029168.484,IDLE,0.023,0.018,-0.001
1774029168.984,IDLE,0.021,0.017,-0.004
1774029169.484,IDLE,0.021,0.024,-0.007
1774029169.984,IDLE,0.020,0.027,-0.012
1774029170.484,IDLE,0.019,0.026,-0.015
1774029170.984,IDLE,0.013,0.029,-0.016
1774029171.484,IDLE,0.013,0.027,-0.014
1774029171.984,IDLE,0.011,0.026,-0.015
1774029172.485,IDLE,0.010,0.026,-0.019
1774029172.984,IDLE,0.009,0.024,-0.023
1774029173.484,IDLE,-0.000,0.019,-0.022
1774029173.984,IDLE,-0.009,0.016,-0.020
1774029174.484,IDLE,-0.015,0.020,-0.019
1774029174.984,IDLE,-0.018,0.016,-0.015
1774029175.484,IDLE,-0.019,0.006,-0.008
1774029175.984,IDLE,-0.020,0.007,-0.001
1774029176.484,IDLE,-0.024,0.005,0.008
1774029176.984,IDLE,-0.024,-0.001,0.014
1774029177.484,IDLE,-0.024,-0.000,0.015
1774029177.984,IDLE,-0.027,0.004,0.016
1774029178.485,IDLE,-0.031,0.007,0.015
1774029178.984,IDLE,-0.029,0.004,0.019
1774029179.484,IDLE,-0.028,-0.001,0.025
1774029179.984,IDLE,-0.026,-0.007,0.029
1774029180.484,IDLE,-0.026,-0.015,0.032
1774029180.984,IDLE,-0.028,-0.023,0.031
1774029181.484,IDLE,-0.025,-0.025,0.033
1774029181.984,IDLE,-0.018,-0.029,0.034
1774029182.484,IDLE,-0.015,-0.038,0.032
1774029182.985,IDLE,-0.007,-0.037,0.030
1774029183.484,IDLE,-0.005,-0.033,0.028
1774029183.984,IDLE,-0.002,-0.034,0.031
1774029184.485,IDLE,0.002,-0.038,0.035
1774029184.984,TAKEOFF,-0.010,-0.037,0.039
1774029185.484,TAKEOFF,-0.013,-0.039,0.037
1774029185.984,TAKEOFF,-0.010,-0.042,0.034
1774029186.484,TAKEOFF,-0.008,-0.045,0.027
1774029186.984,TAKEOFF,-0.003,-0.046,0.023
1774029187.484,TAKEOFF,-0.002,-0.049,0.023
1774029187.984,TAKEOFF,-0.000,-0.052,0.020
1774029188.485,TAKEOFF,0.003,-0.056,0.020
1774029188.984,TAKEOFF,0.006,-0.049,0.021
1774029189.484,TAKEOFF,0.012,-0.044,0.023
1774029189.984,TAKEOFF,0.016,-0.044,0.024
1774029190.484,TAKEOFF,0.016,-0.043,0.029
1774029190.984,TAKEOFF,0.018,-0.045,0.035
1774029191.484,TAKEOFF,0.024,-0.042,0.038
1774029191.984,TAKEOFF,0.026,-0.041,0.042
1774029192.484,TAKEOFF,0.025,-0.041,0.046
1774029192.984,TAKEOFF,0.032,-0.041,0.048
1774029193.484,TAKEOFF,0.041,-0.036,0.047
1774029193.984,TAKEOFF,0.044,-0.028,0.048
1774029194.484,TAKEOFF,0.048,-0.020,0.048
1774029194.984,TAKEOFF,0.048,-0.016,0.045
1774029195.484,TAKEOFF,0.046,-0.025,0.041
1774029195.984,TAKEOFF,0.049,-0.034,0.038
1774029196.485,TAKEOFF,0.057,-0.036,0.038
1774029196.984,TAKEOFF,0.057,-0.031,0.037
1774029197.484,TAKEOFF,0.060,-0.029,0.036
1774029197.984,TAKEOFF,0.068,-0.029,0.033
1774029198.484,TAKEOFF,0.071,-0.020,0.028
1774029198.984,TAKEOFF,0.069,-0.016,0.022
1774029199.484,TAKEOFF,0.064,-0.014,0.016
1774029199.984,TAKEOFF,0.064,-0.013,0.011
1774029200.484,TAKEOFF,0.063,-0.011,0.008
1774029200.984,TAKEOFF,0.056,-0.008,0.009
1774029201.484,TAKEOFF,0.040,-0.013,0.005
1774029201.984,TAKEOFF,0.031,-0.016,-0.000
1774029202.484,TAKEOFF,0.027,-0.015,-0.004
1774029202.984,TAKEOFF,0.018,-0.013,-0.009
1774029203.484,TAKEOFF,0.016,-0.012,-0.008
1774029203.984,TAKEOFF,0.013,-0.013,-0.007
1774029204.484,TAKEOFF,0.013,-0.014,-0.007
1774029204.984,TAKEOFF,0.011,-0.013,-0.010
1774029205.484,TAKEOFF,0.005,-0.011,-0.012
1774029205.984,TAKEOFF,-0.004,-0.008,-0.016
1774029206.484,TAKEOFF,-0.016,-0.004,-0.019
1774029206.984,TAKEOFF,-0.021,-0.001,-0.021
1774029207.484,TAKEOFF,-0.025,0.001,-0.025
1774029207.984,TAKEOFF,-0.026,0.006,-0.025
1774029208.484,TAKEOFF,-0.026,0.014,-0.026
1774029208.984,TAKEOFF,-0.029,0.019,-0.030
1774029209.484,TAKEOFF,-0.022,0.014,-0.034
1774029209.984,TAKEOFF,-0.021,0.012,-0.036
1774029210.484,TAKEOFF,-0.022,0.011,-0.042
1774029210.984,TAKEOFF,-0.016,0.015,-0.046
1774029211.484,TAKEOFF,-0.014,0.016,-0.048
1774029211.984,TAKEOFF,-0.011,0.014,-0.049
1774029212.484,TAKEOFF,-0.010,0.012,-0.052
1774029212.984,TAKEOFF,-0.015,0.013,-0.053
1774029213.484,TAKEOFF,-0.018,0.015,-0.058
1774029213.984,TAKEOFF,-0.020,0.019,-0.065
1774029214.484,TAKEOFF,-0.024,0.013,-0.072
1774029214.984,TAKEOFF,-0.027,0.015,-0.073
1774029215.484,TAKEOFF,-0.021,0.017,-0.076
1774029215.985,TAKEOFF,-0.019,0.015,-0.076
1774029216.484,TAKEOFF,-0.013,0.012,-0.070
1774029216.984,TAKEOFF,-0.007,0.008,-0.068
1774029217.484,TAKEOFF,-0.001,0.009,-0.067
1774029217.985,TAKEOFF,0.005,0.009,-0.069
1774029218.484,TAKEOFF,0.008,0.016,-0.073
1774029218.984,TAKEOFF,0.013,0.013,-0.077
1774029219.484,TAKEOFF,0.018,0.011,-0.074
1774029219.984,TAKEOFF,0.022,0.012,-0.072
1774029220.484,TAKEOFF,0.030,0.018,-0.070
1774029220.984,TAKEOFF,0.032,0.019,-0.067
1774029221.484,TAKEOFF,0.031,0.025,-0.065
1774029221.985,TAKEOFF,0.026,0.024,-0.062
1774029222.484,TAKEOFF,0.026,0.019,-0.059
1774029222.984,TAKEOFF,0.029,0.021,-0.059
1774029223.484,TAKEOFF,0.028,0.022,-0.056
1774029223.985,TAKEOFF,0.024,0.018,-0.055
1774029224.484,TAKEOFF,0.019,0.016,-0.053
1774029224.984,TAKEOFF,0.018,0.016,-0.051
1774029225.484,TAKEOFF,0.014,0.021,-0.048
1774029225.984,TAKEOFF,0.013,0.023,-0.045
1774029226.484,TAKEOFF,0.014,0.025,-0.039
1774029226.984,TAKEOFF,0.010,0.014,0.092
1774029227.484,TAKEOFF,-0.004,-0.026,0.735
1774029227.984,TAKEOFF,-0.025,-0.061,1.758
1774029228.484,TAKEOFF,-0.035,-0.087,2.890
1774029228.984,TAKEOFF,-0.036,-0.093,4.123
1774029229.484,TAKEOFF,-0.042,-0.084,5.396
1774029229.984,TAKEOFF,-0.034,-0.065,6.738
1774029230.484,TAKEOFF,-0.021,-0.057,8.004
1774029230.984,TAKEOFF,-0.001,-0.054,8.837
1774029231.484,TAKEOFF,0.011,-0.063,9.311
1774029231.985,STATIONKEEPING,0.025,-0.068,9.584
1774029232.484,STATIONKEEPING,0.034,-0.065,9.737
1774029232.984,STATIONKEEPING,0.038,-0.067,9.825
1774029233.484,STATIONKEEPING,0.040,-0.073,9.882
1774029233.984,STATIONKEEPING,0.036,-0.074,9.918
1774029234.484,STATIONKEEPING,0.032,-0.069,9.941
1774029234.984,STATIONKEEPING,0.029,-0.061,9.954
1774029235.484,NAVIGATING,0.013,0.020,10.015
1774029235.984,NAVIGATING,0.011,0.646,9.995
1774029236.484,NAVIGATING,0.037,1.575,9.978
1774029236.984,NAVIGATING,0.067,2.458,9.972
1774029237.484,STATIONKEEPING,0.067,3.083,9.972
1774029237.984,STATIONKEEPING,0.055,3.399,9.975
1774029238.484,STATIONKEEPING,0.040,3.455,9.978
1774029238.984,STATIONKEEPING,0.017,3.350,9.979
1774029239.484,STATIONKEEPING,0.007,3.187,9.980
1774029239.984,STATIONKEEPING,0.001,3.037,9.986
1774029240.484,NAVIGATING,-0.005,2.972,10.033
1774029240.984,NAVIGATING,-0.006,3.420,10.027
1774029241.484,NAVIGATING,0.014,4.271,9.990
1774029241.984,NAVIGATING,0.043,5.207,9.980
1774029242.484,STATIONKEEPING,0.051,5.931,9.973
1774029242.984,STATIONKEEPING,0.044,6.352,9.972
1774029243.484,STATIONKEEPING,0.035,6.497,9.978
1774029243.984,STATIONKEEPING,0.013,6.450,9.981
1774029244.484,STATIONKEEPING,-0.001,6.307,9.981
1774029244.984,STATIONKEEPING,-0.002,6.152,9.981
1774029245.484,NAVIGATING,0.002,6.064,10.005
1774029245.984,NAVIGATING,-0.001,6.391,10.038
1774029246.484,NAVIGATING,-0.007,7.214,9.999
1774029246.984,NAVIGATING,0.002,8.158,9.983
1774029247.484,STATIONKEEPING,0.015,8.936,9.969
1774029247.984,STATIONKEEPING,0.023,9.419,9.965
1774029248.484,STATIONKEEPING,0.019,9.596,9.965
1774029248.984,STATIONKEEPING,0.017,9.565,9.966
1774029249.484,STATIONKEEPING,0.004,9.444,9.964
1774029249.985,STATIONKEEPING,-0.005,9.292,9.967
